Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Honda,Automatic,Petrol,1800.0,218000,2011,2200000,Civic Reborn
Mitsubishi,Manual,Diesel,2800.0,120000,2004,3300000,Pajero 
Suzuki,Manual,Petrol,1000.0,75000,2012,875000,Alto 
Honda,Manual,Petrol,1300.0,110000,2005,1090000,City 
Suzuki,Manual,Petrol,800.0,90000,2011,620000,Mehran 
Honda,Automatic,Petrol,1800.0,53000,2018,3690000,Civic 
Toyota,Automatic,Petrol,1000.0,125000,2002,900000,Duet 
Honda,Automatic,Petrol,1800.0,165000,2010,2200000,Civic Reborn
Toyota,Automatic,Petrol,1300.0,15000,2019,3050000,Corolla 
Honda,Automatic,Petrol,1500.0,240000,2002,980000,Civic 
Toyota,Automatic,Hybrid,1500.0,102000,2010,2100000,Prius 
KIA,Automatic,Petrol,2000.0,10000,2020,5140000,Sportage 
Toyota,Automatic,Petrol,1000.0,15000,2018,2700000,Vitz 
Toyota,Automatic,Petrol,1000.0,41080,2018,2625000,Vitz 
Toyota,Automatic,Petrol,2500.0,113000,2005,3050000,Mark X
Suzuki,Manual,Petrol,1000.0,68000,2005,725000,Cultus 
Toyota,Manual,Petrol,1300.0,111280,2011,1890000,Corolla 
Daihatsu,Manual,Petrol,800.0,180000,2007,670000,Cuore 
Honda,Manual,Petrol,1500.0,100000,2000,810000,Civic 
Suzuki,Manual,Petrol,1000.0,52637,2007,625000,Cultus 
Toyota,Automatic,Petrol,1600.0,37000,2017,3260000,Corolla 
Toyota,Automatic,Petrol,2700.0,60000,2010,12000000,Prado 
Suzuki,Manual,Petrol,1000.0,100000,2008,825000,Cultus 
Honda,Automatic,Petrol,1600.0,100000,1997,690000,Civic EK
Toyota,Manual,Petrol,1300.0,93000,2012,1980000,Corolla 
Suzuki,Manual,Petrol,800.0,100000,2013,660000,Mehran 
Suzuki,Automatic,Petrol,660.0,88000,2014,1485000,Wagon R
Suzuki,Manual,Petrol,1000.0,147000,2016,1520000,Wagon R
Toyota,Automatic,Petrol,1800.0,85000,2010,2300000,Prius 
Toyota,Automatic,Diesel,2800.0,14000,2021,10700000,Fortuner 
Toyota,Manual,Petrol,1300.0,150000,2014,2070000,Corolla 
Suzuki,Manual,Petrol,800.0,120000,2008,555000,Mehran 
Chevrolet,Manual,Petrol,1000.0,161000,2006,570000,Joy 
Honda,Automatic,Petrol,1800.0,59195,2018,3900000,Civic 
Suzuki,Manual,Petrol,660.0,36000,2019,1120000,Alto 
Mercedes,Automatic,Petrol,2000.0,102000,2014,11500000,Benz E
Toyota,Automatic,Diesel,3000.0,101000,2005,3500000,Hilux 
Toyota,Automatic,Petrol,1500.0,13597,2018,6800000,Premio 
Toyota,Automatic,Diesel,3000.0,236000,2003,6000000,Prado 120
Toyota,Automatic,Petrol,1300.0,151000,2004,1180000,Corolla 
Toyota,Automatic,Petrol,4608.0,18900,2016,35000000,Land Cruiser
Suzuki,Automatic,Petrol,1600.0,88172,2017,3750000,Vitara 
Lexus,Automatic,Petrol,5700.0,42500,2016,53000000,LX Series
Toyota,Automatic,Petrol,4600.0,55000,2012,20000000,Land Cruiser
Toyota,Automatic,Petrol,2400.0,136000,2006,2500000,Camry XV40
Toyota,Automatic,Diesel,2800.0,82000,2018,6750000,Hilux 
Honda,Manual,Petrol,1300.0,150000,2016,2100000,City 
Toyota,Automatic,Petrol,2500.0,69000,2014,11900000,Crown 
Toyota,Automatic,Petrol,4000.0,85000,2006,8870000,Prado 120
Suzuki,Automatic,Petrol,660.0,85000,2009,1250000,Every 
Honda,Automatic,Petrol,1800.0,80000,2018,3500000,Civic 
Suzuki,Manual,Petrol,800.0,40000,2017,1000000,Mehran 
Suzuki,Automatic,Petrol,660.0,63000,2017,1900000,Every 
Toyota,Manual,Petrol,1300.0,300000,2008,1450000,Corolla 
Honda,Automatic,Petrol,1300.0,87000,2010,1760000,City 
Toyota,Automatic,Petrol,4500.0,127000,1992,3800000,Land Cruiser
Nissan,Manual,Petrol,660.0,90000,2017,1650000,Clipper 
Toyota,Automatic,Petrol,3400.0,200000,2003,7200000,Prado 120
Daihatsu,Manual,Petrol,800.0,124000,2005,630000,Cuore 
Honda,Manual,Petrol,1600.0,200000,1992,1000000,Civic EG
Lexus,Automatic,Petrol,3000.0,200000,2002,2400000,RX Series
Toyota,Manual,Petrol,1300.0,65000,2013,2120000,Corolla 
Honda,Automatic,Petrol,1300.0,46000,2018,2650000,City 
Nissan,Automatic,Petrol,1300.0,140000,2006,1100000,AD Van
Toyota,Manual,Petrol,1300.0,95000,2018,2800000,Corolla 
Toyota,Manual,Petrol,1800.0,61000,2017,3450000,Corolla 
Toyota,Automatic,Petrol,1300.0,55000,2019,3125000,Corolla 
Honda,Automatic,Petrol,1300.0,125000,2014,2075000,City 
Toyota,Automatic,Petrol,1000.0,68000,2012,1775000,Vitz 
Honda,Manual,Petrol,1300.0,46000,2017,2270000,City 
Toyota,Manual,Petrol,1300.0,50000,2014,2200000,Corolla 
Toyota,Automatic,Hybrid,1500.0,134000,2016,3500000,Sienta 
Honda,Automatic,Petrol,1500.0,45000,2018,2885000,BR-V 
Toyota,Manual,Petrol,1300.0,120000,2012,2000000,Corolla 
Toyota,Manual,Diesel,2000.0,121212,1985,750000,Lite Ace
Toyota,Manual,Petrol,1300.0,160000,2018,2950000,Corolla 
Lexus,Automatic,Petrol,5700.0,29080,2016,46000000,LX Series
Honda,Automatic,Petrol,660.0,14000,2019,2050000,N Wgn
Toyota,Automatic,Petrol,1000.0,60000,2017,2550000,Vitz 
Honda,Automatic,Petrol,1800.0,40000,2018,3750000,Civic 
Honda,Manual,Petrol,1600.0,227000,2005,1300000,Civic Eagle
Suzuki,Manual,Petrol,1000.0,95000,2009,819999,Cultus 
Suzuki,Automatic,Petrol,1300.0,60000,2016,1789999,Swift 
Nissan,Automatic,Petrol,1300.0,25000,2004,1050000,March 
Toyota,Automatic,Hybrid,1500.0,76000,2017,3425000,Vitz 
Honda,Automatic,Petrol,1800.0,103800,2018,3750000,Civic 
Toyota,Manual,Petrol,1300.0,60000,2018,2925000,Corolla 
Suzuki,Manual,Petrol,1300.0,83000,2006,795000,Liana 
Suzuki,Manual,Petrol,1300.0,83000,2006,795000,Liana 
Toyota,Manual,Petrol,1300.0,89000,2011,2600000,Corolla 
Daihatsu,Automatic,Petrol,660.0,75000,2008,1099000,Mira 
Toyota,Automatic,Petrol,1800.0,80000,2014,3100000,Prius 
Toyota,Manual,Petrol,2000.0,156000,2005,2550000,Rav4 
Toyota,Automatic,Petrol,1300.0,76000,2005,1300000,Corolla 
Honda,Manual,Petrol,1600.0,78600,2004,935000,Civic 
Toyota,Automatic,Diesel,3000.0,376000,1998,2600000,Surf 
Toyota,Automatic,Petrol,1800.0,89000,2013,2675000,Prius 
Audi,Automatic,Petrol,3000.0,37000,2017,22000000,Q7 
Honda,Automatic,Petrol,1800.0,140000,2011,1789999,Civic Reborn
Suzuki,Manual,Petrol,800.0,49000,2016,920000,Mehran 
Suzuki,Manual,Petrol,800.0,120000,2010,600000,Mehran 
Suzuki,Manual,Petrol,1000.0,80000,2007,800000,Cultus 
Suzuki,Automatic,Petrol,660.0,88700,2016,1590000,Every 
Toyota,Automatic,Petrol,2400.0,60000,2007,3600000,Camry XV40
Toyota,Automatic,Diesel,3000.0,65000,2012,3000000,Hiace 
Honda,Automatic,Petrol,1800.0,13000,2020,4090000,Civic 
Honda,Automatic,Petrol,1500.0,90000,2014,2430000,Fit 
Suzuki,Manual,Petrol,800.0,52000,2015,695000,Ravi 
Honda,Manual,Petrol,1500.0,250000,1995,620000,Civic EG
Honda,Automatic,Petrol,1800.0,117000,2013,2250000,Civic Rebirth
Toyota,Manual,Petrol,1300.0,96500,2011,2080000,Corolla 
Toyota,Automatic,Petrol,1500.0,100000,1994,950000,Corolla 
Toyota,Automatic,Petrol,2500.0,96000,2005,3000000,Mark X
Toyota,Automatic,Petrol,1800.0,68000,2016,3200000,Corolla 
Toyota,Manual,Petrol,1300.0,500000,2006,1400000,Corolla 9th
BMW,Automatic,Petrol,3000.0,200000,2003,2800000,5 Series
Toyota,Automatic,Petrol,1500.0,21000,2021,3250000,Yaris 
Honda,Automatic,Petrol,1800.0,100000,2014,2650000,Civic Rebirth
Honda,Automatic,Petrol,1500.0,41000,2017,2850000,BR-V 
Toyota,Automatic,Petrol,1800.0,21500,2020,4200000,Corolla 
Nissan,Automatic,Hybrid,1200.0,10800,2018,3100000,Note 
Honda,Manual,Petrol,1500.0,96000,2005,1280000,Civic Eagle
Toyota,Manual,Petrol,4200.0,100000,1984,1350000,Land Cruiser
Toyota,Automatic,Petrol,1000.0,127000,2008,1320000,Vitz 
Toyota,Manual,Petrol,1300.0,89000,2017,2500000,Corolla 
Toyota,Automatic,Petrol,1000.0,40000,2018,2750000,Vitz 
Suzuki,Manual,Petrol,1300.0,95000,2009,1050000,Liana 
Toyota,Automatic,Petrol,1300.0,259000,2016,2630000,Corolla 
Suzuki,Manual,Petrol,1000.0,45000,2007,710000,Cultus 
Daihatsu,Automatic,Petrol,660.0,40000,2018,2125000,Mira 
Honda,Manual,Petrol,1500.0,200000,2005,1100000,Civic Eagle
Suzuki,Automatic,Petrol,1300.0,49000,2018,1820000,Swift 
Nissan,Automatic,Petrol,660.0,50000,2014,1600000,Dayz 
United,Manual,Petrol,800.0,22000,2019,800000,Bravo 
Nissan,Automatic,Petrol,660.0,185000,2016,1445000,Clipper 
Toyota,Automatic,Hybrid,1800.0,41853,2016,4385000,Voxy 
Daihatsu,Automatic,Petrol,660.0,14000,2018,2225000,Mira 
Toyota,Automatic,Petrol,1300.0,63000,2016,2720000,Corolla 
Suzuki,Manual,Petrol,1300.0,93000,2012,1250000,Swift 
Toyota,Automatic,Hybrid,1500.0,66000,2015,2675000,Aqua 
Honda,Automatic,Petrol,1500.0,80000,2015,3750000,Vezel 
Toyota,Automatic,Petrol,1600.0,22000,2019,3365000,Corolla 
Toyota,Manual,Petrol,1300.0,115000,2011,1960000,Corolla 
Toyota,Automatic,Diesel,3000.0,180290,1997,2950000,Prado 90
Toyota,Manual,Petrol,1300.0,125000,2011,1700000,Corolla 
Nissan,Automatic,Diesel,3000.0,67315,2014,6100000,Navara 
Honda,Manual,Petrol,1800.0,125000,2010,1650000,Civic Reborn
Toyota,Automatic,Diesel,3000.0,50000,2018,6650000,Hilux 
Suzuki,Manual,Petrol,1000.0,70000,2006,720000,Alto 
Suzuki,Manual,Petrol,1000.0,90000,2010,900000,Cultus 
Honda,Manual,Petrol,1500.0,295606,2001,765000,City 
Toyota,Automatic,Petrol,1800.0,76962,2007,2800000,Premio 
Toyota,Manual,Petrol,1300.0,11000,2021,2775000,Yaris 
Honda,Manual,Petrol,1300.0,250000,2006,1280000,City 
Honda,Automatic,Petrol,1500.0,82300,2017,2850000,City 
Toyota,Automatic,Hybrid,1800.0,110000,2012,3300000,Prius 
Honda,Manual,Petrol,1500.0,100000,1995,500000,Civic EG
Toyota,Automatic,Petrol,1000.0,67000,2018,2665000,Vitz 
Toyota,Manual,Petrol,1300.0,100000,2013,2050000,Corolla 
Suzuki,Manual,Petrol,1000.0,81000,2007,660000,Cultus 
Daihatsu,Automatic,Petrol,660.0,40000,2017,2050000,Hijet 
Jeep,Manual,Diesel,2000.0,100000,1990,680000,M 151
Suzuki,Manual,CNG,800.0,250000,2011,715000,Bolan 
Suzuki,Manual,Petrol,1600.0,304945,2006,1700000,APV 
Toyota,Manual,Petrol,1300.0,32000,2012,1800000,Corolla 
Daihatsu,Automatic,Petrol,660.0,49000,2018,2199000,Mira 
Suzuki,Manual,Petrol,1000.0,91000,2015,1225000,Cultus 
Honda,Automatic,Petrol,660.0,83000,2012,1315000,Life 
Chevrolet,Manual,Petrol,1000.0,122000,2006,560000,Joy 
Honda,Automatic,Petrol,1500.0,56000,2019,3035000,BR-V 
Suzuki,Automatic,Petrol,660.0,32000,2020,1880000,Alto 
Toyota,Automatic,Petrol,1600.0,155000,2012,2150000,Corolla 
Daihatsu,Automatic,Petrol,660.0,100000,2008,869999,Mira 
Toyota,Automatic,Hybrid,1500.0,125000,2014,2450000,Aqua 
Toyota,Automatic,Petrol,1500.0,169000,2006,2550000,Corolla 9th
Toyota,Automatic,Petrol,1000.0,35000,2019,2550000,Passo 
Honda,Automatic,Petrol,1500.0,49000,2017,2850000,BR-V 
Daihatsu,Automatic,Petrol,660.0,24000,2018,1900000,Mira 
Toyota,Automatic,Petrol,1800.0,112034,2017,3700000,Corolla 
Suzuki,Automatic,Petrol,1000.0,40000,2012,980000,Alto 
Honda,Manual,Petrol,1800.0,107000,2012,1885000,Civic 
Honda,Automatic,Hybrid,1500.0,160000,2017,3850000,Fit 
Toyota,Manual,Petrol,1300.0,53000,2017,2900000,Corolla 
Honda,Automatic,Petrol,1600.0,275000,1999,1110000,Civic 
Toyota,Manual,Petrol,1300.0,100000,2009,1650000,Corolla 
Suzuki,Manual,Petrol,1300.0,90000,2015,1570000,Swift 
Honda,Manual,Petrol,1300.0,123000,2014,2050000,City 
Nissan,Automatic,Petrol,660.0,55000,2015,1600000,Dayz 
Toyota,Manual,Petrol,1300.0,81000,2017,2500000,Corolla 
Toyota,Automatic,Petrol,1800.0,92000,2006,2450000,Corolla Fielder
Toyota,Manual,Diesel,3500.0,120000,1995,4200000,Coaster 
Honda,Automatic,Petrol,1500.0,65000,2016,2300000,City 
Honda,Manual,Petrol,1300.0,100000,2016,2130000,City 
Toyota,Automatic,Petrol,1000.0,100000,2016,1850000,Passo 
Honda,Manual,Petrol,1300.0,100000,2016,2130000,City 
Toyota,Manual,Petrol,1300.0,150000,2014,1800000,Corolla 
Suzuki,Manual,Petrol,1000.0,100000,2006,680000,Alto 
Toyota,Automatic,Petrol,1500.0,100000,2007,2210000,Corolla Axio
Toyota,Manual,Petrol,1300.0,123000,2012,2400000,Corolla 
Toyota,Automatic,Petrol,1800.0,88000,2014,2600000,Corolla 
Toyota,Automatic,Petrol,4608.0,129000,2007,16500000,Land Cruiser
Toyota,Automatic,Diesel,2800.0,69000,2019,7000000,Hilux 
Honda,Automatic,Petrol,1500.0,100000,2000,940000,Civic 
Lexus,Automatic,Petrol,1800.0,150000,2014,3800000,CT200h 
Suzuki,Manual,Petrol,800.0,90000,2017,1080000,Bolan 
Toyota,Automatic,Petrol,1600.0,13500,2019,3470000,Corolla 
Toyota,Automatic,Petrol,2400.0,178000,2006,2150000,Camry XV40
Toyota,Manual,Petrol,1300.0,109000,2009,1475000,Corolla 
Honda,Automatic,Hybrid,1500.0,15000,2019,4760000,Vezel 
Toyota,Automatic,Petrol,1500.0,27000,2018,3725000,Corolla Axio
Toyota,Automatic,Petrol,1000.0,35000,2018,2615000,Passo 
Toyota,Automatic,Petrol,1800.0,99000,2012,2650000,Prius Alpha
Honda,Automatic,Petrol,1600.0,125000,2005,1250000,Civic Eagle
Toyota,Automatic,Petrol,1000.0,86000,2013,2050000,Vitz 
Suzuki,Manual,Petrol,1300.0,170000,2011,1200000,Swift 
Honda,Automatic,Petrol,1500.0,127000,2013,2050000,City 
Suzuki,Manual,Petrol,1000.0,100000,2007,700000,Khyber 
Honda,Manual,Petrol,1800.0,87000,2013,2290000,Civic Rebirth
Honda,Automatic,Petrol,1500.0,79000,2017,2650000,City 
Toyota,Automatic,Petrol,1000.0,150000,2000,1320000,Vitz 
Suzuki,Manual,Petrol,1000.0,56000,2006,690000,Cultus 
Toyota,Manual,Petrol,1600.0,100000,2001,1000000,Corolla 
Toyota,Automatic,Petrol,1800.0,53000,2019,3895000,Corolla 
Suzuki,Manual,Petrol,1000.0,100000,2006,680000,Alto 
Honda,Automatic,Petrol,1800.0,98000,2014,2550000,Civic Rebirth
Suzuki,Manual,Petrol,1000.0,100000,2007,560000,Alto 
Toyota,Automatic,Petrol,2700.0,175000,2013,5700000,Fortuner 
Suzuki,Manual,Petrol,1000.0,100000,2007,650000,Alto 
Suzuki,Automatic,Petrol,1200.0,60000,2012,1600000,Swift 
Honda,Manual,Petrol,1500.0,100000,1995,650000,Civic EG
Suzuki,Manual,Petrol,1300.0,103000,2014,1450000,Swift 
Jeep,Manual,Diesel,2200.0,100000,1942,1200000,M 151
Suzuki,Manual,Petrol,800.0,90000,2011,500000,Ravi 
Toyota,Automatic,Petrol,3400.0,136000,2002,8500000,Prado 
Toyota,Automatic,Petrol,1000.0,86000,2010,1739999,Vitz 
Honda,Automatic,Petrol,1800.0,28441,2017,3340000,Civic 
Toyota,Automatic,Petrol,1600.0,105000,2011,2100000,Corolla 
Honda,Automatic,Petrol,1500.0,78000,2014,3100000,Vezel 
Changan,Manual,Petrol,1000.0,39632,2020,1639999,Karvaan 
Toyota,Automatic,Petrol,1600.0,31061,2019,3350000,Corolla 
Toyota,Automatic,Petrol,1800.0,124000,2006,2300000,Corolla Fielder
Honda,Automatic,Petrol,1800.0,45000,2018,3670000,Civic 
Toyota,Automatic,Petrol,1000.0,60000,2018,2675000,Vitz 
Suzuki,Manual,Petrol,1000.0,100000,2005,580000,Cultus 
Honda,Automatic,Petrol,1500.0,38000,2017,2700000,City 
Honda,Automatic,Petrol,1800.0,104000,2009,1820000,Civic Reborn
Suzuki,Manual,Petrol,800.0,85000,2010,725000,Mehran 
Toyota,Automatic,Petrol,1800.0,49000,2018,3600000,Corolla 
Toyota,Automatic,Petrol,4000.0,85000,2006,8875000,Prado 120
Nissan,Automatic,Petrol,660.0,164000,2015,1350000,Clipper 
Suzuki,Manual,Petrol,1000.0,79658,2007,630000,Alto 
Toyota,Automatic,Petrol,4608.0,16000,2016,36500000,Land Cruiser
Toyota,Automatic,Petrol,2700.0,30000,2016,18000000,Prado 
Toyota,Automatic,Petrol,2700.0,29000,2017,20500000,Prado 
Lexus,Automatic,Petrol,3500.0,68000,2010,8200000,RX Series
Toyota,Automatic,Petrol,1500.0,15000,2018,3650000,Corolla Fielder
Toyota,Automatic,Petrol,4608.0,23000,2017,29500000,Land Cruiser
Toyota,Automatic,Petrol,3400.0,99000,2005,7200000,Prado 120
Toyota,Automatic,Petrol,4608.0,14000,2018,45500000,Land Cruiser
Toyota,Automatic,Petrol,2700.0,44000,2018,25000000,Prado 
Toyota,Automatic,Hybrid,1800.0,15000,2018,5800000,Corolla Cross
Toyota,Automatic,Diesel,3000.0,48000,2017,6000000,Hilux 
Toyota,Automatic,Petrol,2700.0,45000,2017,7750000,Fortuner 
Daihatsu,Manual,Petrol,660.0,110000,2011,1135000,Hijet 
Toyota,Manual,Petrol,1500.0,210000,1995,1125000,Corolla 
Toyota,Automatic,Petrol,1000.0,75000,2018,2360000,Passo 
Honda,Automatic,Petrol,1500.0,141510,2006,1175000,Civic 
Mitsubishi,Automatic,Petrol,660.0,16000,2017,1775000,Ek Wagon
Nissan,Automatic,Petrol,660.0,51000,2018,1895000,Dayz 
Daihatsu,Automatic,Petrol,660.0,11000,2018,2150000,Move 
Daihatsu,Automatic,Petrol,660.0,94000,2016,1495000,Hijet 
Toyota,Automatic,Petrol,1800.0,100000,2006,1350000,Corolla 9th
Honda,Automatic,Petrol,1500.0,29000,2016,4565000,Vezel 
Honda,Automatic,Petrol,1500.0,36000,2018,2700000,City 
KIA,Automatic,Petrol,2000.0,15000,2021,5025000,Sportage 
Honda,Automatic,Petrol,1800.0,12000,2020,4100000,Civic 
Toyota,Automatic,Hybrid,1500.0,76000,2012,2675000,Aqua 
Toyota,Automatic,Petrol,1300.0,78000,2006,1764999,Belta 
Toyota,Automatic,Petrol,1000.0,50000,2006,1450000,Vitz 
Toyota,Automatic,Petrol,660.0,70000,2015,1650000,Pixis Epoch
Toyota,Manual,Petrol,1300.0,200000,2009,1750000,Corolla 
Honda,Manual,Petrol,1300.0,40000,2019,2545000,City 
Toyota,Automatic,Petrol,1600.0,123000,2014,2600000,Corolla 
Toyota,Manual,Petrol,1300.0,107500,2015,2450000,Corolla 
Honda,Automatic,Petrol,1800.0,43000,2018,3720000,Civic 
Honda,Automatic,Hybrid,1500.0,65000,2015,3850000,Vezel 
Honda,Manual,Petrol,1800.0,163000,2007,1435000,Civic Reborn
Toyota,Manual,Petrol,1300.0,65000,2017,2600000,Corolla 
Nissan,Manual,Petrol,1200.0,118000,2014,4000000,Qashqai 
Hyundai,Manual,Petrol,1100.0,159000,2005,750000,Santro 
Suzuki,Manual,Petrol,1000.0,98000,2006,560000,Alto 
Suzuki,Manual,Petrol,800.0,95000,2015,775000,Mehran 
Toyota,Automatic,Petrol,1300.0,66300,2018,2945000,Corolla 
Honda,Automatic,Hybrid,1500.0,41230,2017,4900000,Vezel 
Suzuki,Manual,Petrol,1300.0,100500,2011,1230000,Swift 
Toyota,Automatic,Petrol,1500.0,71000,2018,4000000,Corolla Fielder
Toyota,Automatic,Petrol,2700.0,26000,2016,18200000,Prado 
Toyota,Manual,Diesel,3000.0,100000,2004,1550000,Hilux 
Suzuki,Automatic,Petrol,660.0,87000,2014,1550000,Alto 
Toyota,Automatic,Hybrid,1500.0,30000,2014,2450000,Aqua 
Suzuki,Manual,Petrol,1000.0,52000,2007,715000,Cultus 
Suzuki,Manual,Petrol,1000.0,40000,2007,620000,Alto 
Toyota,Automatic,Petrol,1600.0,171000,2012,2150000,Corolla 
Toyota,Automatic,Petrol,1600.0,50000,1986,700000,Corolla 
Toyota,Manual,Petrol,1300.0,100000,2007,1250000,Corolla 9th
Toyota,Automatic,Petrol,1800.0,10500,2020,4240000,Corolla 
Nissan,Automatic,Petrol,660.0,80000,2014,1295000,Dayz 
Toyota,Automatic,Hybrid,1500.0,92000,2012,2250000,Aqua 
Toyota,Manual,Diesel,4000.0,100000,1995,4500000,Coaster 
Honda,Manual,Petrol,1300.0,72000,2019,2500000,City 
Toyota,Manual,Petrol,1800.0,145000,2009,1725000,Corolla 
Toyota,Manual,Petrol,1300.0,65000,2018,2800000,Corolla 
Toyota,Manual,Petrol,1800.0,200000,2011,2400000,Corolla 
Honda,Manual,Petrol,1500.0,115000,2014,2000000,City 
Toyota,Manual,Diesel,3400.0,98000,1990,1875000,Land Cruiser
Honda,Automatic,Petrol,1300.0,166000,2003,1030000,City 
Toyota,Automatic,Petrol,2700.0,51000,2016,17600000,Prado 
Toyota,Automatic,Hybrid,1500.0,95000,2018,3365000,Aqua 
Toyota,Automatic,Hybrid,1500.0,95000,2018,3450000,Aqua 
Honda,Automatic,Hybrid,1500.0,100000,2016,4450000,Vezel 
Honda,Automatic,Petrol,660.0,95000,2018,2275000,N Box
Honda,Manual,Petrol,1600.0,100000,1998,890000,Civic EK
Toyota,Automatic,Petrol,2700.0,67500,2014,5500000,Fortuner 
Honda,Manual,Petrol,1800.0,140000,2007,1550000,Civic Reborn
Honda,Automatic,Petrol,1500.0,115000,2016,3900000,Vezel 
Honda,Manual,Petrol,1800.0,87000,2013,2290000,Civic Rebirth
Honda,Manual,Petrol,1300.0,94000,2008,1550000,City 
Toyota,Automatic,Petrol,1800.0,31479,2019,4200000,Corolla 
Honda,Manual,Petrol,1300.0,34500,2019,2525000,City 
Nissan,Manual,Diesel,1700.0,195000,1993,650000,Sunny 
Daihatsu,Manual,Petrol,800.0,100000,2004,630000,Cuore 
Honda,Automatic,Petrol,1500.0,47000,2019,2840000,City 
Honda,Automatic,Petrol,1800.0,30000,2020,4499000,Civic 
Suzuki,Manual,Petrol,900.0,17000,2014,750000,Ravi 
Honda,Automatic,Petrol,1800.0,39000,2019,4350000,Civic 
Suzuki,Manual,Petrol,1000.0,88912,2015,1200000,Wagon R
Toyota,Automatic,Petrol,4000.0,85000,2010,14000000,Prado 
Suzuki,Manual,Petrol,800.0,100000,2017,795000,Mehran 
Suzuki,Manual,Petrol,1000.0,750000,2007,720000,Cultus 
Suzuki,Manual,Petrol,1000.0,87000,2010,675000,Alto 
Suzuki,Manual,Petrol,1000.0,100000,2016,1520000,Wagon R
Suzuki,Manual,Petrol,1000.0,93000,2017,1190000,Cultus 
Toyota,Automatic,Petrol,1300.0,100000,2006,1550000,Probox 
Toyota,Automatic,Petrol,1000.0,98000,2007,1700000,Belta 
Toyota,Automatic,Petrol,1500.0,100000,2013,2275000,Aqua 
Honda,Automatic,Petrol,1800.0,83000,2014,2750000,Civic Rebirth
Toyota,Manual,Petrol,1300.0,85000,2013,2000000,Corolla 
Daihatsu,Automatic,Petrol,800.0,224000,2008,730000,Cuore 
Honda,Manual,Petrol,1300.0,61000,2018,2350000,City 
Toyota,Manual,Petrol,1500.0,212000,1988,850000,Corolla 
Daihatsu,Automatic,Petrol,660.0,130000,2012,1465000,Mira 
Suzuki,Manual,Petrol,1000.0,70000,2016,1400000,Cultus 
Toyota,Manual,Petrol,1300.0,200000,2001,980000,Corolla 
Toyota,Manual,Petrol,1300.0,227339,1988,600000,Corolla 
Toyota,Automatic,Petrol,1000.0,97000,2008,1550000,Belta 
Toyota,Automatic,Petrol,1000.0,87000,2017,2485000,Vitz 
Honda,Automatic,Petrol,1800.0,28000,2018,3850000,Civic 
Mitsubishi,Automatic,Petrol,660.0,105000,2010,1450000,Pajero Mini
Toyota,Automatic,Petrol,2000.0,125000,2004,1895000,Mark II
Toyota,Automatic,Petrol,1300.0,90000,2016,2475000,Corolla 
Honda,Automatic,Petrol,1800.0,70000,2018,3350000,Civic 
Honda,Manual,Petrol,1500.0,74000,2014,2100000,City 
Toyota,Automatic,Petrol,1600.0,100000,2003,1470000,Corolla 
Suzuki,Automatic,Petrol,1000.0,86000,2018,3600000,Swift 
Nissan,Automatic,Petrol,1500.0,92000,2013,2950000,Juke 
Toyota,Automatic,Petrol,1600.0,145000,2013,2250000,Corolla 
Toyota,Automatic,Petrol,1600.0,35000,2018,3250000,Corolla 
Toyota,Automatic,Petrol,4600.0,133333,2011,21800000,Land Cruiser
Daihatsu,Automatic,Petrol,660.0,91000,2011,935000,Hijet 
Suzuki,Manual,Petrol,800.0,33000,2018,1015000,Mehran 
Suzuki,Manual,Petrol,1000.0,32500,2013,1145000,Cultus 
Suzuki,Manual,Petrol,1000.0,17000,2020,1860000,Wagon R
Toyota,Automatic,Petrol,1000.0,34000,2019,2950000,Vitz 
Toyota,Automatic,Petrol,2700.0,65000,2010,11500000,Prado 
Toyota,Manual,CNG,1300.0,100000,1996,925000,Corolla Indus
Toyota,Automatic,Petrol,1800.0,100000,2011,2650000,Prius 
Suzuki,Manual,CNG,800.0,87500,2011,570000,Mehran 
Honda,Manual,Petrol,1300.0,90000,2010,1900000,City 
Honda,Manual,Petrol,1600.0,12222,2000,1150000,Civic 
Honda,Manual,Petrol,1800.0,95000,2007,1689999,Civic Reborn
KIA,Automatic,Petrol,2000.0,10311,2020,5250000,Sportage 
Toyota,Manual,Diesel,2500.0,300000,2011,4500000,Hilux 
Toyota,Manual,Petrol,1300.0,27320,2014,2500000,Corolla 
Toyota,Automatic,Petrol,1600.0,85000,2016,2775000,Corolla 
Toyota,Automatic,Petrol,1000.0,80000,2013,2090000,Vitz 
Toyota,Automatic,Petrol,1500.0,180000,2015,3400000,Corolla Fielder
Toyota,Manual,Petrol,1000.0,61500,2014,1300000,Aygo 
Suzuki,Manual,Petrol,1000.0,54500,2018,1664999,Wagon R
Toyota,Manual,Petrol,1300.0,199311,2014,2250000,Corolla 
Suzuki,Manual,Petrol,1000.0,75000,2003,1050000,Cultus 
Mitsubishi,Automatic,Petrol,1300.0,150000,2005,1200000,Lancer 
Suzuki,Automatic,Petrol,660.0,159000,2009,1190000,Kei 
Honda,Automatic,Petrol,1800.0,130000,2016,2900000,Civic Rebirth
Toyota,Automatic,Petrol,2700.0,132000,2009,13000000,Prado 120
Honda,Automatic,Petrol,1500.0,100000,2002,750000,City 
Toyota,Automatic,Petrol,1800.0,125000,2016,2750000,Prius 
Suzuki,Manual,Petrol,1000.0,100000,2013,1055000,Cultus 
