Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Hyundai,Manual,Petrol,1100.0,150000,2006,810000,Santro 
Suzuki,Manual,Petrol,1000.0,80000,2007,745000,Cultus 
Toyota,Automatic,Petrol,1300.0,100000,2005,1525000,Vitz 
Honda,Automatic,Petrol,1500.0,232000,1997,950000,Civic EK
Toyota,Automatic,Petrol,1300.0,35000,2017,2600000,Corolla 
Toyota,Manual,Diesel,2000.0,236000,2007,1150000,Corolla 9th
Toyota,Automatic,Petrol,2500.0,103000,2005,2975000,Mark X
Daihatsu,Manual,Petrol,800.0,125000,2008,825000,Cuore 
Daihatsu,Automatic,Petrol,660.0,24000,2018,2195000,Mira 
Toyota,Automatic,Hybrid,1500.0,157000,2016,3375000,Sienta 
Toyota,Automatic,Diesel,3000.0,140000,2001,5250000,Prado 90
Toyota,Automatic,Petrol,1300.0,61476,2017,2680000,Corolla 
Honda,Automatic,Petrol,1500.0,22930,2020,3515000,BR-V 
Suzuki,Manual,Petrol,1000.0,99000,2011,1100000,Alto 
Daihatsu,Automatic,Petrol,660.0,70000,2016,1420000,Hijet 
Suzuki,Manual,Petrol,660.0,10200,2019,1590000,Alto 
KIA,Automatic,Petrol,2000.0,19000,2020,5600000,Sportage 
Daihatsu,Automatic,Petrol,660.0,64000,2013,1450000,Move 
Honda,Automatic,Petrol,2400.0,120000,2004,1775000,Accord 
Honda,Manual,Petrol,1300.0,77340,2016,2195000,City 
Honda,Automatic,Petrol,1800.0,125000,2016,2880000,Civic Rebirth
Suzuki,Manual,Petrol,800.0,190000,2013,760000,Mehran 
Toyota,Automatic,Petrol,1800.0,80000,2016,3150000,Corolla 
Mazda,Automatic,Petrol,660.0,93000,2012,1695000,Az Offroad
Toyota,Manual,Petrol,1300.0,76200,2012,1775000,Corolla 
Toyota,Automatic,Hybrid,1500.0,122000,2017,3100000,Vitz 
Toyota,Automatic,Petrol,2700.0,92000,2014,3575000,Hiace 
Toyota,Manual,Petrol,1300.0,39000,2019,3125000,Corolla 
Toyota,Automatic,Petrol,2700.0,64000,2016,19000000,Prado 
Toyota,Manual,Petrol,1300.0,192895,2012,1700000,Corolla 
Honda,Manual,Petrol,1500.0,100000,1995,665000,Civic EG
Honda,Automatic,Hybrid,1300.0,130000,2011,1905000,Fit 
Suzuki,Manual,Petrol,1000.0,68000,2006,750000,Cultus 
Suzuki,Automatic,Petrol,800.0,38000,2019,950000,Mehran 
Toyota,Automatic,Petrol,1300.0,85000,2008,1625000,Belta 
Toyota,Manual,Petrol,1300.0,65000,2017,2650000,Corolla 
Honda,Automatic,Petrol,1800.0,38600,2018,3825000,Civic 
Suzuki,Automatic,Petrol,660.0,21000,2019,1785000,Alto 
Honda,Automatic,Petrol,1800.0,25000,2019,3800000,Civic 
Honda,Automatic,Petrol,1500.0,150000,2010,2150000,Insight 
Toyota,Automatic,Petrol,1000.0,58510,2018,2800000,Vitz 
Toyota,Automatic,Petrol,1000.0,31784,2018,2800000,Vitz 
Honda,Manual,Petrol,1800.0,120000,2013,2400000,Civic Rebirth
Toyota,Automatic,Petrol,1000.0,34429,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,40043,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,13380,2019,2925000,Vitz 
Toyota,Automatic,Petrol,1000.0,24854,2018,2800000,Vitz 
Toyota,Automatic,Petrol,1000.0,30115,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,26781,2018,2800000,Vitz 
Toyota,Automatic,Petrol,1800.0,27000,2018,3850000,Corolla 
Honda,Automatic,Petrol,1800.0,68000,2016,2900000,Civic Rebirth
Suzuki,Manual,Petrol,800.0,70000,2015,580000,Ravi 
Honda,Automatic,Petrol,1800.0,135000,2014,2725000,Civic Rebirth
Suzuki,Manual,Petrol,1000.0,81912,2011,850000,Cultus 
Honda,Manual,Petrol,1300.0,72000,2019,2475000,City 
Toyota,Automatic,Petrol,2700.0,150000,2003,5500000,Prado 120
